,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti4_centroid_x,ti4_centroid_y,ti7_centroid_x,ti7_centroid_y,ti8_centroid_x,ti8_centroid_y,ti153_centroid_x,ti153_centroid_y,ti243_centroid_x,ti243_centroid_y,ti261_centroid_x,ti261_centroid_y,ti333_centroid_x,ti333_centroid_y,ti427_centroid_x,ti427_centroid_y,ti483_centroid_x,ti483_centroid_y,ti508_centroid_x,ti508_centroid_y,ti476_centroid_x,ti476_centroid_y,ti662_centroid_x,ti662_centroid_y,ti837_centroid_x,ti837_centroid_y,ti846_centroid_x,ti846_centroid_y,ti857_centroid_x,ti857_centroid_y,ti891_centroid_x,ti891_centroid_y,ti902_centroid_x,ti902_centroid_y,ti914_centroid_x,ti914_centroid_y,ti919_centroid_x,ti919_centroid_y,ti954_centroid_x,ti954_centroid_y,ti1014_centroid_x,ti1014_centroid_y,ti1071_centroid_x,ti1071_centroid_y,ti1081_centroid_x,ti1081_centroid_y,ti1092_centroid_x,ti1092_centroid_y,ti1116_centroid_x,ti1116_centroid_y
0,698.4867553710938,-2145.407958984375,675.2310791015625,-2192.09716796875,643.3925170898438,-2245.469970703125,730.27197265625,-2107.8154296875,752.4624633789062,-2191.110107421875,738.248046875,-2192.38232421875,645.0836791992188,-2252.275390625,643.5599975585938,-2246.840576171875,646.0367431640625,-2254.629638671875,651.837646484375,-2261.435546875,692.2115478515625,-2288.7470703125,611.9740600585938,-2240.6845703125,715.064208984375,-2304.440673828125,612.872314453125,-2241.398193359375,641.8018188476562,-2236.106201171875,646.1566162109375,-2256.729736328125,537.8770751953125,-2403.992431640625,575.5376586914062,-2369.232421875,596.4078369140625,-2366.385009765625,537.7369995117189,-2403.950927734375,607.7111206054688,-2373.575927734375,619.4789428710938,-2378.209716796875,572.2442626953125,-2373.485595703125,541.5526733398439,-2428.541259765625,580.5211181640625,-2384.630859375,537.7908935546875,-2417.071533203125,599.464599609375,-2395.933349609375,539.3373413085939,-2419.7421875
1,697.1019897460938,-2147.39501953125,675.9738159179688,-2191.045654296875,643.6344604492188,-2244.4990234375,731.3905639648438,-2105.808349609375,751.0408325195312,-2191.54833984375,738.11962890625,-2192.5185546875,644.4268188476562,-2252.048583984375,643.25,-2246.4150390625,645.8280029296875,-2254.403076171875,650.5353393554688,-2260.609619140625,690.3704833984375,-2287.636962890625,611.7210083007812,-2240.47998046875,712.2266845703125,-2302.40380859375,612.750732421875,-2241.286376953125,640.93505859375,-2237.98193359375,645.3970336914062,-2255.503662109375,537.8833618164061,-2403.99267578125,575.5443115234375,-2369.230224609375,596.5977783203125,-2365.044921875,538.0032958984375,-2404.333251953125,607.6915893554688,-2373.3095703125,619.4808959960938,-2378.21337890625,572.3715209960938,-2373.420166015625,541.5449829101561,-2428.544677734375,580.524658203125,-2384.6357421875,537.7799682617189,-2417.06298828125,599.4813232421875,-2395.916259765625,539.3392944335939,-2419.7392578125
2,696.5599365234375,-2148.291748046875,677.0617065429688,-2189.620361328125,643.6948852539062,-2243.690185546875,732.0849609375,-2104.76904296875,751.0471801757812,-2191.544677734375,738.1201171875,-2192.453369140625,644.768798828125,-2251.82177734375,643.4090576171875,-2246.183837890625,645.6776123046875,-2254.10107421875,650.2037963867188,-2260.285400390625,689.031494140625,-2286.7822265625,611.6318969726562,-2240.47998046875,710.2589111328125,-2301.248779296875,612.6018676757812,-2241.18115234375,640.1848754882812,-2238.71875,644.9596557617188,-2254.958251953125,537.9207763671875,-2403.962890625,575.1427612304688,-2369.044921875,596.6011962890625,-2365.042724609375,537.9290161132811,-2404.361572265625,607.6837768554688,-2373.151123046875,619.48876953125,-2378.2138671875,572.4512329101562,-2373.362548828125,541.5420532226561,-2428.5458984375,580.5214233398438,-2384.645263671875,537.7813110351561,-2417.05908203125,599.4822998046875,-2395.918212890625,539.341796875,-2419.72900390625
3,695.9446411132812,-2149.177734375,677.5565795898438,-2188.4638671875,644.15673828125,-2243.452880859375,732.7422485351562,-2103.826904296875,751.047607421875,-2191.539306640625,738.1470336914062,-2192.443115234375,644.7997436523438,-2251.586181640625,643.9149169921875,-2246.0869140625,645.3391723632812,-2253.620361328125,649.6788940429688,-2259.739990234375,687.9066772460938,-2285.91943359375,611.5989379882812,-2240.50146484375,709.0543823242188,-2300.412109375,612.5194702148438,-2241.13037109375,639.8639526367188,-2239.530517578125,644.83203125,-2254.425048828125,537.89794921875,-2403.885009765625,574.93798828125,-2369.09521484375,596.6058959960938,-2365.0390625,537.8973388671875,-2404.326416015625,607.6658325195312,-2373.089599609375,619.4945678710938,-2378.211181640625,572.4859008789062,-2373.357666015625,541.540771484375,-2428.548828125,581.0382080078125,-2382.57373046875,537.8026123046875,-2417.05517578125,599.482177734375,-2395.914794921875,539.338623046875,-2419.72119140625
4,695.39013671875,-2150.040283203125,678.3162841796875,-2187.482666015625,644.1004638671875,-2242.591064453125,733.4646606445312,-2102.807861328125,751.060302734375,-2191.537841796875,738.4970092773438,-2192.642578125,644.736083984375,-2251.339599609375,643.7333374023438,-2245.5283203125,645.0964965820312,-2253.27099609375,648.9059448242188,-2259.001220703125,686.47119140625,-2285.36962890625,611.6481323242188,-2240.527099609375,707.9940795898438,-2299.512451171875,612.4723510742188,-2241.09326171875,639.4688720703125,-2240.34619140625,644.6727294921875,-2253.886474609375,537.9876098632811,-2403.93798828125,574.7738647460938,-2369.08349609375,596.608154296875,-2365.038330078125,537.958984375,-2404.334228515625,607.7135009765625,-2373.071533203125,619.5006713867188,-2379.12109375,572.6173095703125,-2373.455078125,541.5465698242189,-2428.556884765625,581.0429077148438,-2382.5634765625,537.5914916992189,-2415.701171875,599.4806518554688,-2395.913330078125,539.321533203125,-2419.710693359375
5,694.723876953125,-2151.0078125,678.9365844726562,-2186.4775390625,644.187255859375,-2241.88427734375,733.8603515625,-2102.2607421875,751.0535278320312,-2191.534912109375,738.7154541015625,-2192.7646484375,644.5839233398438,-2251.4453125,643.6799926757812,-2245.095458984375,644.8228759765625,-2252.754150390625,648.1974487304688,-2258.326904296875,685.3345336914062,-2284.50390625,611.5858764648438,-2240.51123046875,706.83154296875,-2298.75341796875,612.5142822265625,-2241.1298828125,638.9876098632812,-2241.083984375,644.3486328125,-2253.166015625,538.1651611328125,-2404.133544921875,574.9073486328125,-2369.07080078125,596.6075439453125,-2365.041015625,537.8531494140625,-2404.3369140625,607.6809692382812,-2373.155029296875,619.5257568359375,-2379.41259765625,572.71875,-2373.51904296875,541.5578002929689,-2428.611572265625,581.0490112304688,-2382.56005859375,537.668212890625,-2415.76806640625,599.4798583984375,-2395.919921875,539.0000610351561,-2419.709716796875
6,694.1945190429688,-2151.85498046875,679.5696411132812,-2185.48583984375,644.32568359375,-2241.200439453125,734.3316040039062,-2101.57861328125,751.0728149414062,-2191.47998046875,738.872314453125,-2192.863037109375,644.635986328125,-2251.323974609375,643.7139892578125,-2244.602294921875,644.7771606445312,-2252.6591796875,647.7202758789062,-2257.763671875,684.1416625976562,-2283.6455078125,611.5252075195312,-2240.48876953125,705.6593017578125,-2298.050048828125,612.5439453125,-2241.159912109375,638.5616455078125,-2241.859619140625,644.1077880859375,-2252.4697265625,537.8344116210939,-2403.859619140625,575.064697265625,-2369.002197265625,596.6083374023438,-2365.032470703125,537.8423461914061,-2404.365234375,607.7362060546875,-2373.05126953125,619.5233764648438,-2379.7314453125,572.8199462890625,-2373.491943359375,541.5509643554689,-2428.60791015625,581.06689453125,-2382.546630859375,537.5067138671875,-2415.244140625,599.4823608398438,-2395.918212890625,538.9119262695311,-2419.50634765625
7,693.709716796875,-2152.7666015625,680.1981811523438,-2184.458740234375,644.4548950195312,-2240.413818359375,734.8167724609375,-2100.7080078125,751.0208740234375,-2191.475830078125,738.6503295898438,-2192.59326171875,644.3917846679688,-2250.8994140625,643.8218994140625,-2244.04541015625,644.5371704101562,-2252.13330078125,647.3865356445312,-2257.433349609375,683.0159912109375,-2282.895751953125,611.5549926757812,-2240.52685546875,704.6721801757812,-2297.421142578125,612.173828125,-2240.878662109375,638.1611938476562,-2242.6298828125,643.9154663085938,-2251.772705078125,537.7009887695311,-2403.989501953125,575.0269165039062,-2369.02099609375,596.61279296875,-2365.036865234375,537.8851928710939,-2404.405029296875,607.7228393554688,-2372.909912109375,619.5089111328125,-2379.53955078125,572.8461303710938,-2373.49755859375,541.556640625,-2428.61474609375,581.0731811523438,-2382.546630859375,537.3531494140625,-2415.2138671875,599.2127685546875,-2396.023681640625,538.884033203125,-2419.455078125
8,693.1041259765625,-2153.623291015625,680.85400390625,-2183.462890625,644.5643310546875,-2239.6474609375,735.457275390625,-2099.71142578125,750.986572265625,-2191.553955078125,738.624267578125,-2192.58447265625,644.3760375976562,-2250.71728515625,643.9683227539062,-2243.578369140625,644.31494140625,-2251.524169921875,646.9895629882812,-2257.03173828125,681.8277587890625,-2282.103515625,611.4075317382812,-2240.400634765625,703.7235717773438,-2296.769287109375,611.983642578125,-2240.74560546875,637.8602294921875,-2243.3818359375,643.8397827148438,-2251.0654296875,537.6911010742189,-2404.021728515625,575.0529174804688,-2369.08251953125,596.6163330078125,-2365.03564453125,537.9402465820311,-2404.44287109375,608.0654907226562,-2372.871826171875,619.4541625976562,-2379.7958984375,572.9483642578125,-2373.598388671875,542.2813110351561,-2428.325439453125,581.077880859375,-2382.5419921875,537.3889770507811,-2415.07666015625,599.567138671875,-2395.495361328125,538.8411254882811,-2419.506103515625
9,692.5189819335938,-2154.56201171875,681.5077514648438,-2182.455322265625,644.8314819335938,-2238.903076171875,736.1099243164062,-2098.71142578125,750.9855346679688,-2191.54345703125,738.6072998046875,-2192.573486328125,644.3619995117188,-2250.537109375,644.132080078125,-2243.06982421875,644.0662231445312,-2250.8115234375,646.3252563476562,-2256.302001953125,680.6808471679688,-2281.3837890625,611.4044189453125,-2240.373779296875,702.5393676757812,-2296.0654296875,611.8045654296875,-2240.595458984375,637.5542602539062,-2244.1494140625,643.6484375,-2250.315185546875,537.675537109375,-2404.054443359375,575.6836547851562,-2369.396240234375,596.6181640625,-2365.03955078125,537.9942626953125,-2404.443115234375,608.4600219726562,-2373.0546875,619.4521484375,-2379.791015625,572.9301147460938,-2373.595703125,542.302001953125,-2428.34326171875,581.080810546875,-2382.539306640625,537.3050537109375,-2415.107421875,599.642333984375,-2395.399658203125,539.2715454101561,-2420.282958984375
10,691.8994140625,-2155.446533203125,682.13916015625,-2181.45068359375,645.092529296875,-2238.09814453125,,,750.982421875,-2191.54541015625,,,,,644.4031982421875,-2242.181640625,643.9426879882812,-2250.323974609375,645.9046020507812,-2255.749267578125,679.5126953125,-2280.649658203125,611.333740234375,-2239.98974609375,701.72216796875,-2295.59716796875,610.9617309570312,-2239.824951171875,637.28662109375,-2244.876220703125,643.4915771484375,-2249.6455078125,537.6661987304689,-2404.08447265625,576.072265625,-2369.67529296875,596.6244506835938,-2365.042724609375,537.8826904296875,-2404.462646484375,608.5567626953125,-2373.3671875,619.45361328125,-2379.790771484375,572.9528198242188,-2373.61328125,542.3875732421875,-2428.3671875,581.0840454101562,-2382.545654296875,537.1790771484375,-2415.01220703125,599.6470947265625,-2395.40234375,539.5032958984375,-2420.76806640625
11,691.2528076171875,-2156.391845703125,682.7708740234375,-2180.471435546875,645.4288330078125,-2237.2568359375,,,,,,,,,644.5363159179688,-2241.681640625,643.7359008789062,-2249.43359375,645.5394287109375,-2255.22265625,678.3435668945312,-2279.8505859375,611.21630859375,-2239.9990234375,700.2808227539062,-2294.677734375,610.9752807617188,-2239.83837890625,637.0003051757812,-2245.662353515625,643.208984375,-2248.74658203125,,,576.3799438476562,-2369.797607421875,596.4307250976562,-2365.592529296875,537.953369140625,-2404.488525390625,608.558349609375,-2373.36669921875,,,572.9593505859375,-2373.6240234375,542.2352905273439,-2428.33837890625,,,537.14990234375,-2414.984130859375,,,539.7265014648439,-2420.927734375
12,690.6599731445312,-2157.307861328125,683.42236328125,-2179.498046875,645.9235229492188,-2236.261962890625,,,,,,,,,644.7015991210938,-2241.10498046875,643.6190185546875,-2248.89990234375,645.1432495117188,-2254.679931640625,677.36279296875,-2279.20361328125,611.1450805664062,-2240.007080078125,698.9539794921875,-2293.7939453125,611.0769653320312,-2240.020751953125,636.8291625976562,-2246.40478515625,643.2581787109375,-2247.89990234375,,,576.00830078125,-2369.562255859375,596.4290771484375,-2365.586669921875,538.0211181640625,-2404.532958984375,608.5582275390625,-2373.369384765625,,,573.10986328125,-2373.666015625,542.2953491210939,-2428.286865234375,,,537.0684814453125,-2414.982421875,,,539.8818359375,-2421.25
13,690.2064819335938,-2158.0078125,684.0616455078125,-2178.48291015625,646.3832397460938,-2235.34130859375,,,,,,,,,644.9497680664062,-2240.329833984375,643.7012939453125,-2248.554443359375,644.799072265625,-2254.13232421875,676.2869262695312,-2278.4912109375,611.1393432617188,-2240.04443359375,698.0289306640625,-2293.243896484375,611.0814208984375,-2240.051513671875,636.6995849609375,-2247.178466796875,643.1406860351562,-2247.09619140625,,,575.7948608398438,-2369.493896484375,596.4277954101562,-2365.58251953125,537.9456176757811,-2404.663818359375,,,,,573.220703125,-2373.67724609375,542.1837768554689,-2428.35888671875,,,537.0977172851561,-2414.988525390625,,,,
14,689.5670166015625,-2158.959228515625,684.6781005859375,-2177.507080078125,646.8305053710938,-2234.480712890625,,,,,,,,,645.165771484375,-2239.540771484375,643.6702270507812,-2248.469970703125,644.4918212890625,-2253.55908203125,675.2404174804688,-2277.785888671875,611.0771484375,-2240.017578125,696.6759033203125,-2292.2060546875,611.4127807617188,-2240.389892578125,636.605224609375,-2248.070556640625,643.1270751953125,-2246.2890625,,,575.6458740234375,-2369.494873046875,596.43115234375,-2365.5849609375,537.8811645507811,-2404.69873046875,,,,,573.3040771484375,-2373.685791015625,542.1187744140625,-2428.378173828125,,,537.0543212890625,-2414.99658203125,,,,
15,688.9254760742188,-2159.9453125,685.2828369140625,-2176.607421875,647.3194580078125,-2233.66259765625,,,,,,,,,645.4369506835938,-2238.880126953125,643.535888671875,-2247.860107421875,644.1849975585938,-2252.854736328125,674.16552734375,-2277.064697265625,611.0365600585938,-2239.99853515625,695.7460327148438,-2291.697021484375,611.4354858398438,-2240.427734375,636.50830078125,-2249.020751953125,643.3233642578125,-2245.739501953125,,,575.5360717773438,-2369.49072265625,596.185546875,-2365.992431640625,538.0152587890625,-2404.72119140625,,,,,573.361083984375,-2373.693359375,542.2340698242189,-2428.444580078125,,,537.0186767578125,-2415.025634765625,,,,
16,688.4052734375,-2160.76513671875,685.929443359375,-2175.644775390625,647.5697631835938,-2233.239501953125,,,,,,,,,645.725830078125,-2238.228271484375,643.3101806640625,-2247.03271484375,643.9164428710938,-2252.101806640625,673.138671875,-2276.3828125,611.3654174804688,-2240.113525390625,694.5653686523438,-2290.946044921875,611.5545654296875,-2240.54052734375,636.5177001953125,-2249.81396484375,643.506103515625,-2244.96435546875,,,575.4220581054688,-2369.632568359375,596.1800537109375,-2365.985595703125,537.9322509765625,-2404.73388671875,,,,,573.4192504882812,-2373.682861328125,542.2174682617189,-2428.53759765625,,,536.9742431640625,-2415.035400390625,,,,
17,687.779296875,-2161.73046875,686.5758056640625,-2174.680908203125,648.1384887695312,-2232.37451171875,,,,,,,,,646.0385131835938,-2237.61279296875,643.1787719726562,-2246.241943359375,643.7363891601562,-2251.422607421875,672.0352172851562,-2275.692138671875,611.3649291992188,-2240.20849609375,693.3834838867188,-2290.196533203125,611.5868530273438,-2240.587890625,636.5435791015625,-2250.602783203125,643.4318237304688,-2244.275146484375,,,575.0604858398438,-2369.488525390625,596.177978515625,-2365.980712890625,537.978759765625,-2404.740478515625,,,,,573.4453125,-2373.729248046875,542.36669921875,-2428.503173828125,,,536.9652709960939,-2415.056640625,,,,
18,687.2357788085938,-2162.556640625,687.2232666015625,-2173.703857421875,648.585693359375,-2231.748046875,,,,,,,,,646.3624267578125,-2236.985595703125,643.2108764648438,-2245.47607421875,643.5697021484375,-2250.7177734375,670.979248046875,-2275.04443359375,611.2760620117188,-2240.28125,,,611.5836181640625,-2240.6298828125,636.5948486328125,-2251.44140625,643.742919921875,-2243.352294921875,,,575.1460571289062,-2369.56982421875,,,537.9871215820311,-2404.65576171875,,,,,573.46484375,-2373.713623046875,542.6268920898439,-2428.369140625,,,537.0709228515625,-2415.223388671875,,,,
19,686.6156616210938,-2163.476806640625,687.865478515625,-2172.697021484375,649.047607421875,-2231.034423828125,,,,,,,,,646.61474609375,-2236.559814453125,643.2332153320312,-2245.029541015625,643.455322265625,-2250.099365234375,669.8936767578125,-2274.322509765625,611.1664428710938,-2240.18310546875,,,611.6141967773438,-2240.6640625,636.6726684570312,-2252.235107421875,644.0564575195312,-2242.467529296875,,,575.260498046875,-2369.580810546875,,,538.0027465820311,-2404.682373046875,,,,,573.4911499023438,-2373.71435546875,542.656005859375,-2428.36279296875,,,537.0347900390625,-2415.1806640625,,,,
20,686.0210571289062,-2164.4140625,688.543212890625,-2171.728759765625,649.5702514648438,-2230.30859375,,,,,,,,,646.936767578125,-2236.0517578125,643.28173828125,-2244.44775390625,643.3706665039062,-2249.4873046875,668.8571166992188,-2273.652099609375,,,,,,,636.7645874023438,-2253.04541015625,644.297607421875,-2241.593994140625,,,575.2526245117188,-2369.69482421875,,,538.03466796875,-2404.595703125,,,,,573.5046997070312,-2373.7236328125,542.462646484375,-2428.5048828125,,,,,,,,
21,685.480224609375,-2165.20654296875,689.1723022460938,-2170.761962890625,650.1047973632812,-2229.53125,,,,,,,,,647.2979125976562,-2235.462158203125,643.3515625,-2243.828125,643.2952270507812,-2248.84716796875,667.8096313476562,-2272.975830078125,,,,,,,636.887939453125,-2253.84912109375,644.3451538085938,-2240.718017578125,,,575.2611083984375,-2369.755859375,,,537.9879760742189,-2404.507568359375,,,,,573.4882202148438,-2373.7373046875,542.4788818359375,-2428.522216796875,,,,,,,,
22,684.83251953125,-2166.149658203125,689.8662719726562,-2169.718017578125,650.6610107421875,-2228.747314453125,,,,,,,,,647.6614379882812,-2234.824462890625,643.5399169921875,-2243.10791015625,643.2459716796875,-2248.17041015625,666.8132934570312,-2272.322021484375,,,,,,,637.0634155273438,-2254.682373046875,644.5784912109375,-2240.372802734375,,,575.2877807617188,-2369.80810546875,,,537.810791015625,-2404.399658203125,,,,,573.5210571289062,-2373.762451171875,542.5140991210939,-2428.538330078125,,,,,,,,
23,684.1969604492188,-2167.06689453125,690.509521484375,-2168.70849609375,651.1202392578125,-2228.009033203125,,,,,,,,,648.0396728515625,-2234.212158203125,643.7562255859375,-2242.462646484375,643.2021484375,-2247.448486328125,665.5086059570312,-2271.4716796875,,,,,,,637.289794921875,-2255.5185546875,644.7179565429688,-2239.47705078125,,,575.2562866210938,-2369.826171875,,,537.9434204101561,-2404.509033203125,,,,,573.4818115234375,-2373.789306640625,542.51953125,-2428.5009765625,,,,,,,,
